"Stars","Title","Entry ID","Entry Name","Date Added","Date Modified","PDB TITLE","PDB ID","PDB CRYST1 a","PDB CRYST1 b","PDB CRYST1 c","PDB CRYST1 alpha","PDB CRYST1 beta","PDB CRYST1 gamma","PDB CRYST1 Space Group","PDB CRYST1 z","PDB CLASSIFICATION","PDB DEPOSITION DATE","PDB format version","PDB R","PDB Rfree","PDB RESOLUTION","PDB EXPDTA","PDB EXPDTA TEMPERATURE","PDB EXPDTA PH","PDB REMARK 350 Biomolecule 1 Transform 1 Chains","PDB REMARK 350 Biomolecule 1 Transform 1 Matrix 1","Source Path","Source File","Source File Index","prepared","prepared with version","created disulfur","preprocess pH","het states","Job Name","Potential Energy-S-OPLS","RMS Derivative-S-OPLS","Max Derivative-S-OPLS","Stretch Energy-S-OPLS","Bend Energy-S-OPLS","LJ-14 Energy-S-OPLS","El-14 Energy-S-OPLS","Van der Waals Energy-S-OPLS","Electrostatic Energy-S-OPLS","Dihedral Energy-S-OPLS","target temperature","OPENEYE_ISO_SMILES","OPENEYE_INCHI","OPENEYE_INCHIKEY","FORMULA","chiral flag","version","source file","source file index","mmshare version","input","cmdline","tautomer probability","Ionization Penalty","Ionization Penalty Charging","Ionization Penalty Neutral","State Penalty","Charging Adjusted Penalty","Tot Q","Tot abs Q","flags","Force Field","Energy","Chiralities Consistent","Variant","grid version","gridbox xcent","gridbox ycent","gridbox zcent","gridbox xrange","gridbox yrange","gridbox zrange","gridbox ligxrange","gridbox ligyrange","gridbox ligzrange","grid type","receptor","glide gridfile","glide lignum","glide rotatable bonds","docking score","glide ligand efficiency","glide ligand efficiency sa","glide ligand efficiency ln","glide gscore","glide lipo","glide hbond","glide metal","glide rewards","glide evdw","glide ecoul","glide erotb","glide esite","glide emodel","glide energy","glide einternal","glide confnum","glide posenum","glide eff state penalty","XP GScore","XP HBond","XP PoseRank","Mark","PDB REMARK 350 Biomolecule 2 Transform 1 Chains","PDB REMARK 350 Biomolecule 2 Transform 1 Matrix 1"
,"2RGP","1","2rgp.1","15 Nov 13:36","15 Nov 13:43","STRUCTURE OF EGFR IN COMPLEX WITH HYDRAZONE, A POTENT DUAL INHIBITOR","2RGP",45.850,68.030,103.860,90.000,90.000,90.000,"P 21 21 21",4,"TRANSFERASE","04-OCT-07","3.30",0.228,0.268,2.000,"X-RAY DIFFRACTION",200.000,9.000,"A","1.000000 0.000000 0.000000   0.000000;0.000000 1.000000 0.000000   0.000000;0.000000 0.000000 1.000000   0.000000","/Users/vishnu","2rgp.pdb",1,,"",,,"","",,,,,,,,,,,,"","","","",,,"",,,"","",,,,,,,,,,"",,,"",,,,,,,,,,,"",,"",,,,,,,,,,,,,,,,,,,,,,,,,,"",""
,"2RGP - with-deletions","3","2rgp.1","15 Nov 13:37","16 Nov 14:06","STRUCTURE OF EGFR IN COMPLEX WITH HYDRAZONE, A POTENT DUAL INHIBITOR","2RGP",45.850,68.030,103.860,90.000,90.000,90.000,"P 21 21 21",4,"TRANSFERASE","04-OCT-07","3.30",0.228,0.268,2.000,"X-RAY DIFFRACTION",200.000,9.000,"A","1.000000 0.000000 0.000000   0.000000;0.000000 1.000000 0.000000   0.000000;0.000000 0.000000 1.000000   0.000000","/Users/vishnu","2rgp.pdb",1,,"",,,"","",,,,,,,,,,,,"","","","",,,"",,,"","",,,,,,,,,,"",,,"",,,,,,,,,,,"",,"",,,,,,,,,,,,,,,,,,,,,,,,,,"",""
,"2RGP - prepared","2","2rgp.1","15 Nov 13:37","16 Nov 14:06","STRUCTURE OF EGFR IN COMPLEX WITH HYDRAZONE, A POTENT DUAL INHIBITOR","2RGP",45.850,68.030,103.860,90.000,90.000,90.000,"P 21 21 21",4,"TRANSFERASE","04-OCT-07","3.30",0.228,0.268,2.000,"X-RAY DIFFRACTION",200.000,9.000,"A","1.000000 0.000000 0.000000   0.000000;0.000000 1.000000 0.000000   0.000000;0.000000 0.000000 1.000000   0.000000","/Users/vishnu/proteinprep_1","proteinprep_1-out.maegz",1,true,"2023-3",true,7.400,"eJztWMtu4zAM/BUj56xBUpZk9VeKHvbQnoJeFnsK+u+rh+VRjaZI27i1scwhoCaUZ0TKYznnAx/uuvv4ERnDsaOHYxfDQAj52P3iKZYmNjlOg2lumSbl5wmIk/kVIEvAJCAitic7xMH55dg9/z2d6vfT79Ofx8zyrkRaXyH1zpP9tMK2iLR5hW0RaTMKafUSSu9GexOBK1XwiwIv7MJvExgTDjJbThigwiJ0jU7fxGPb6zS3TJuUToCbhU2AXwLjRyznskRaX+FVt8t1RaTNK2yLSJtRSKuX8Ko7+sPb8IYV/KLAC7vw2wQmyzGwnNkaDRFCRigIDcIBoUXoEHqEI0KwMdgYbAw2BhuDjcHGYGOwMdgYbAI2AZuATcAmYBOwCdgEbAI2AZsBm+G2tenRkOtcW5uBJI7Rg1L+CnAC0qIE/SglqxmmZrwCRAAM+aJ2AaQl14vanOGQkQEmZLic4RdAy+JzRqNjzEDAlFAvyi2Q6s3YCWUTSAsIpHNZvlkAAulclh8A5NWyXQIeQF6tgTB2bwOoOvslkFfLDe3cW8EeLNuPsf1KGyowLNYiWZig+1KqjjbkMGfUKQHSI8LxoZ5OK+eD2HjTc8/DaNOhw08jlwYhD2gw/K6nqVd8yitqZ9Qr1Cu27BXSk/gwe4X0zH6oXlFGag96lFB7+D/tQY8S6hXqFeoV6hX78Ap97VCv2INX6GuH2oPag9qD2oPag9qD2oPaww7sQf+IUHvYgz3oHxE/7xV6lFCv2INX6FHiR+xBjxJqD3uwh5scJR5e/gHXv5AZ","proteinprep_1",,,,,,,,,,,,"","","","",,,"",,,"","",,,,,,,,,,"",,,"",,,,,,,,,,,"",,"",,,,,,,,,,,,,,,,,,,,,,,,,,"",""
,"2RGP - prepared","4","2rgp.1","15 Nov 13:39","16 Nov 14:06","STRUCTURE OF EGFR IN COMPLEX WITH HYDRAZONE, A POTENT DUAL INHIBITOR","2RGP",45.850,68.030,103.860,90.000,90.000,90.000,"P 21 21 21",4,"TRANSFERASE","04-OCT-07","3.30",0.228,0.268,2.000,"X-RAY DIFFRACTION",200.000,9.000,"A","1.000000 0.000000 0.000000   0.000000;0.000000 1.000000 0.000000   0.000000;0.000000 0.000000 1.000000   0.000000","/Users/vishnu/proteinprep_2","proteinprep_2-out.maegz",1,,"",,,"","proteinprep_2",,,,,,,,,,,,"","","","",,,"",,,"","",,,,,,,,,,"",,,"",,,,,,,,,,,"",,"",,,,,,,,,,,,,,,,,,,,,,,,,,"",""
,"2RGP - prepared","5","2rgp.1","15 Nov 13:41","16 Nov 14:06","STRUCTURE OF EGFR IN COMPLEX WITH HYDRAZONE, A POTENT DUAL INHIBITOR","2RGP",45.850,68.030,103.860,90.000,90.000,90.000,"P 21 21 21",4,"TRANSFERASE","04-OCT-07","3.30",0.228,0.268,2.000,"X-RAY DIFFRACTION",200.000,9.000,"A","1.000000 0.000000 0.000000   0.000000;0.000000 1.000000 0.000000   0.000000;0.000000 0.000000 1.000000   0.000000","/Users/vishnu/proteinprep_3","proteinprep_3-out.maegz",1,,"",,,"","proteinprep_3",-7355.846,0.074,2.379,12.507,251.790,454.042,-325.568,-525.103,-7295.682,72.168,298.000,"","","","",,,"",,,"","",,,,,,,,,,"",,,"",,,,,,,,,,,"",,"",,,,,,,,,,,,,,,,,,,,,,,,,,"",""
0,"Structure6","6","Structure6","15 Nov 13:36","16 Nov 14:06","STRUCTURE OF EGFR IN COMPLEX WITH HYDRAZONE, A POTENT DUAL INHIBITOR","2RGP",45.850,68.030,103.860,90.000,90.000,90.000,"P 21 21 21",4,"TRANSFERASE","04-OCT-07","3.30",0.228,0.268,2.000,"X-RAY DIFFRACTION",200.000,9.000,"A","1.000000 0.000000 0.000000   0.000000;0.000000 1.000000 0.000000   0.000000;0.000000 0.000000 1.000000   0.000000","/Users/vishnu","2rgp.pdb",1,,"",,,"","",,,,,,,,,,,,"","","","",,,"",,,"","",,,,,,,,,,"",,,"",,,,,,,,,,,"",,"",,,,,,,,,,,,,,,,,,,,,,,,,,"",""
,"AQ4 - Erlotinib","8","AQ4_model.1","15 Nov 13:47","17 Nov 13:25","","",,,,,,,"",,"","","",,,,"",,,"","","/Users/vishnu/Downloads","AQ4_model.sdf",1,,"",,,"","",,,,,,,,,,,,"COCCOc1cc2c(cc1OCCOC)ncnc2Nc3cccc(c3)C#C","InChI=1S/C22H23N3O4/c1-4-16-6-5-7-17(12-16)25-22-18-13-20(28-10-8-26-2)21(29-11-9-27-3)14-19(18)23-15-24-22/h1,5-7,12-15H,8-11H2,2-3H3,(H,23,24,25)","AAKJLRGGTJKAMG-UHFFFAOYSA-N","C22H23N3O4",false,0,"",,,"","",,,,,,,,,,"",,,"",,,,,,,,,,,"",,"",,,,,,,,,,,,,,,,,,,,,,,,,,"",""
,"IRE - gefitinib","20","IRE_model.1","16 Nov 14:44","17 Nov 13:27","","",,,,,,,"",,"","","",,,,"",,,"","","/Users/vishnu/Downloads","IRE_model.sdf",1,,"",,,"","",,,,,,,,,,,,"COc1cc2c(cc1OCCCN3CCOCC3)/c(=N/c4ccc(c(c4)Cl)F)/nc[nH]2","InChI=1S/C22H24ClFN4O3/c1-29-20-13-19-16(12-21(20)31-8-2-5-28-6-9-30-10-7-28)22(26-14-25-19)27-15-3-4-18(24)17(23)11-15/h3-4,11-14H,2,5-10H2,1H3,(H,25,26,27)","XGALLCVXEZPNRQ-UHFFFAOYSA-N","C22H24ClFN4O3",false,0,"",,,"","",,,,,,,,,,"",,,"",,,,,,,,,,,"",,"",,,,,,,,,,,,,,,,,,,,,,,,,,"",""
,"IRE - gefitinib","21","IRE_model.1","16 Nov 14:48","17 Nov 13:27","","",,,,,,,"",,"","","",,,,"",,,"","","/Users/vishnu/ligprep_IRE","ligprep_IRE-out.maegz",1,,"",,,"","ligprep_IRE",,,,,,,,,,,,"COc1cc2c(cc1OCCCN3CCOCC3)/c(=N/c4ccc(c(c4)Cl)F)/nc[nH]2","InChI=1S/C22H24ClFN4O3/c1-29-20-13-19-16(12-21(20)31-8-2-5-28-6-9-30-10-7-28)22(26-14-25-19)27-15-3-4-18(24)17(23)11-15/h3-4,11-14H,2,5-10H2,1H3,(H,25,26,27)","XGALLCVXEZPNRQ-UHFFFAOYSA-N","C22H24ClFN4O3",false,0,"ligprep_IRE.maegz",1,63125,"W0NIMl0xW0NIMl1PW0NIMl1bQ0gyXU4xW0NIMl1bQ0gyXVtDSDJdT2MoW2NIXTIpYyhPW0NIM10pW2NIXWMoYzIzKVtuSF1bY0hdbmNcMz1OL2M0W2NIXWMoQ2wpYyhGKVtjSF1bY0hdNA==","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMS4wJywgJy1waCcsICc3LjQnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.1968,0.0000,0.1968,0.1963,0.196,0,0,0,"S-OPLS",41.091,true,"IRE - gefitinib-1",,,,,,,,,,,"",,"",,,,,,,,,,,,,,,,,,,,,,,,,,"",""
,"IRE - gefitinib","22","IRE_model.1","16 Nov 14:48","17 Nov 13:28","","",,,,,,,"",,"","","",,,,"",,,"","","/Users/vishnu/ligprep_IRE","ligprep_IRE-out.maegz",1,,"",,,"","ligprep_IRE",,,,,,,,,,,,"COc1cc2c(cc1OCCCN3CCOCC3)/c(=N/c4ccc(c(c4)Cl)F)/nc[nH]2","InChI=1S/C22H24ClFN4O3/c1-29-20-13-19-16(12-21(20)31-8-2-5-28-6-9-30-10-7-28)22(26-14-25-19)27-15-3-4-18(24)17(23)11-15/h3-4,11-14H,2,5-10H2,1H3,(H,25,26,27)","XGALLCVXEZPNRQ-UHFFFAOYSA-N","C22H24ClFN4O3",false,0,"ligprep_IRE.maegz",1,63125,"W0NIMl0xW0NIMl1PW0NIMl1bQ0gyXU4xW0NIMl1bQ0gyXVtDSDJdT2MoW2NIXTIpYyhPW0NIM10pW2NIXWMoYzIzKVtuSF1bY0hdbmNcMz1OL2M0W2NIXWMoQ2wpYyhGKVtjSF1bY0hdNA==","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMS4wJywgJy1waCcsICc3LjQnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.7505,0.7500,0.0005,0.7500,1.500,1,1,0,"S-OPLS",48.598,true,"IRE - gefitinib-2",,,,,,,,,,,"",,"",,,,,,,,,,,,,,,,,,,,,,,,,,"",""
,"2RGP - prepared","35","2rgp.1","17 Nov 12:08","17 Nov 12:57","STRUCTURE OF EGFR IN COMPLEX WITH HYDRAZONE, A POTENT DUAL INHIBITOR","2RGP",45.850,68.030,103.860,90.000,90.000,90.000,"P 21 21 21",4,"TRANSFERASE","04-OCT-07","3.30",0.228,0.268,2.000,"X-RAY DIFFRACTION",200.000,9.000,"A","1.000000 0.000000 0.000000   0.000000;0.000000 1.000000 0.000000   0.000000;0.000000 0.000000 1.000000   0.000000","/Users/vishnu/glide-dock_SP_IRE_scaled","glide-dock_SP_IRE_scaled_pv.maegz",1,,"",,,"","glide-dock_SP_IRE_scaled",-7355.846,0.074,2.379,12.507,251.790,454.042,-325.568,-525.103,-7295.682,72.168,298.000,"","","","",,,"",,,"","",,,,,,,,,,"",,,"",100125,16.795,34.517,91.289,27.885,27.885,27.885,10.000,10.000,10.000,"glide",true,"",,,,,,,,,,,,,,,,,,,,,,,,,,"",""
,"IRE - gefitinib","36","IRE_model.1","17 Nov 12:08","17 Nov 12:49","","",,,,,,,"",,"","","",,,,"",,,"","","/Users/vishnu/glide-dock_SP_IRE_scaled","glide-dock_SP_IRE_scaled_pv.maegz",1,,"",,,"","glide-dock_SP_IRE_scaled",,,,,,,,,,,,"COc1cc2c(cc1OCCCN3CCOCC3)/c(=N/c4ccc(c(c4)Cl)F)/nc[nH]2","InChI=1S/C22H24ClFN4O3/c1-29-20-13-19-16(12-21(20)31-8-2-5-28-6-9-30-10-7-28)22(26-14-25-19)27-15-3-4-18(24)17(23)11-15/h3-4,11-14H,2,5-10H2,1H3,(H,25,26,27)","XGALLCVXEZPNRQ-UHFFFAOYSA-N","C22H24ClFN4O3",false,0,"ligprep_IRE.maegz",1,63125,"W0NIMl0xW0NIMl1PW0NIMl1bQ0gyXU4xW0NIMl1bQ0gyXVtDSDJdT2MoW2NIXTIpYyhPW0NIM10pW2NIXWMoYzIzKVtuSF1bY0hdbmNcMz1OL2M0W2NIXWMoQ2wpYyhGKVtjSF1bY0hdNA==","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMS4wJywgJy1waCcsICc3LjQnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.1968,0.0000,0.1968,0.1963,0.196,0,0,0,"S-OPLS",41.091,true,"IRE - gefitinib-1",,,,,,,,,,,"",,"glide-grid_3",2,8,-9.412,-0.304,-0.954,-2.123,-9.608,-4.618,-0.221,0.000,-1.927,-55.251,-4.538,0.601,0.000,-89.054,-59.789,11.920,1,59,0.196,,,,,"",""
,"IRE - gefitinib","37","IRE_model.1","17 Nov 12:08","17 Nov 13:20","","",,,,,,,"",,"","","",,,,"",,,"","","/Users/vishnu/glide-dock_SP_IRE_scaled","glide-dock_SP_IRE_scaled_pv.maegz",1,,"",,,"","glide-dock_SP_IRE_scaled",,,,,,,,,,,,"COc1cc2c(cc1OCCCN3CCOCC3)/c(=N/c4ccc(c(c4)Cl)F)/nc[nH]2","InChI=1S/C22H24ClFN4O3/c1-29-20-13-19-16(12-21(20)31-8-2-5-28-6-9-30-10-7-28)22(26-14-25-19)27-15-3-4-18(24)17(23)11-15/h3-4,11-14H,2,5-10H2,1H3,(H,25,26,27)","XGALLCVXEZPNRQ-UHFFFAOYSA-N","C22H24ClFN4O3",false,0,"ligprep_IRE.maegz",1,63125,"W0NIMl0xW0NIMl1PW0NIMl1bQ0gyXU4xW0NIMl1bQ0gyXVtDSDJdT2MoW2NIXTIpYyhPW0NIM10pW2NIXWMoYzIzKVtuSF1bY0hdbmNcMz1OL2M0W2NIXWMoQ2wpYyhGKVtjSF1bY0hdNA==","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMS4wJywgJy1waCcsICc3LjQnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.7505,0.7500,0.0005,0.7500,1.500,1,1,0,"S-OPLS",48.598,true,"IRE - gefitinib-2",,,,,,,,,,,"",,"glide-grid_3",1,8,-9.055,-0.292,-0.918,-2.042,-9.805,-4.050,-0.445,0.000,-2.005,-55.009,-7.449,0.599,-0.037,-93.169,-62.458,17.704,77,25,0.750,,,,,"",""
,"IRE - gefitinib","38","IRE_model.1","17 Nov 12:08","17 Nov 12:48","","",,,,,,,"",,"","","",,,,"",,,"","","/Users/vishnu/glide-dock_SP_IRE_scaled","glide-dock_SP_IRE_scaled_pv.maegz",1,,"",,,"","glide-dock_SP_IRE_scaled",,,,,,,,,,,,"COc1cc2c(cc1OCCCN3CCOCC3)/c(=N/c4ccc(c(c4)Cl)F)/nc[nH]2","InChI=1S/C22H24ClFN4O3/c1-29-20-13-19-16(12-21(20)31-8-2-5-28-6-9-30-10-7-28)22(26-14-25-19)27-15-3-4-18(24)17(23)11-15/h3-4,11-14H,2,5-10H2,1H3,(H,25,26,27)","XGALLCVXEZPNRQ-UHFFFAOYSA-N","C22H24ClFN4O3",false,0,"ligprep_IRE.maegz",1,63125,"W0NIMl0xW0NIMl1PW0NIMl1bQ0gyXU4xW0NIMl1bQ0gyXVtDSDJdT2MoW2NIXTIpYyhPW0NIM10pW2NIXWMoYzIzKVtuSF1bY0hdbmNcMz1OL2M0W2NIXWMoQ2wpYyhGKVtjSF1bY0hdNA==","J2VwaWtfcHl0aG9uJywgJy1waHQnLCAnMS4wJywgJy1waCcsICc3LjQnLCAnLXRuJywgJzgnLCAnLW1hJywgJzUwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=",1.000,0.1968,0.0000,0.1968,0.1963,0.196,0,0,0,"S-OPLS",41.091,true,"IRE - gefitinib-1",,,,,,,,,,,"",,"glide-grid_3",2,8,-9.031,-0.291,-0.915,-2.037,-9.228,-4.002,-0.421,0.000,-1.912,-56.352,-4.510,0.601,0.000,-91.569,-60.862,6.245,7,296,0.196,,,,,"",""
